"Score","Category","File","FullPath","LineNumber","SuggestedRange","MatchedPattern","Code"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","783","780-791","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/activities.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","788","785-796","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/change_orders.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","793","790-801","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/claims.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","798","795-806","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/contracts.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","803","800-811","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/cost_items.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","808","805-816","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/delay_events.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","813","810-821","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/Delivered_steel_site.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","818","815-826","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/engineering_log.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","823","820-831","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/evm.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","828","825-836","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/ifc_conflict.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","833","830-841","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/milestones.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","838","835-846","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/payments.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","843","840-851","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/progress_updates.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","848","845-856","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/projects.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","853","850-861","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/rfi_ status.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","858","855-866","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/rft_qtys.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","863","860-871","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/risks.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","868","865-876","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/steel_activities_relationship.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","873","870-881","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/steel_delay_status_mployer_free_issue_material.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","878","875-886","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/s_curve.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","883","880-891","\.csv","""projects/Buildings/Sophia-Mall/01-data/import_templates/wbs.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","888","885-896","\.docx","""projects/Buildings/Sophia-Mall/02-delay_analysis/methodology/TIA methodology.docx"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","898","895-906","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/01-project_metadata_template.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","903","900-911","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/02-master_activity_steel_analysis.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","908","905-916","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/03-employer_steel_supply_at_site.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","913","910-921","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/04-p6_activity_export.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","918","915-926","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/05-relationship_file.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","923","920-931","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/06-contract_library.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","928","925-936","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/07-ifc_conflict.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","933","930-941","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/08-payments.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","938","935-946","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/09-rfi_status.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","943","940-951","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/10-contractor_steel_supplied_at_site.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","948","945-956","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/11-concurrency_matrix_template.updated.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","953","950-961","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/12-client_steel_demand_by_dia_wide.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","958","955-966","\.csv","""projects/Buildings/Sophia-Mall/02-delay_analysis/steel_delay_tia_templates/13-client_steel_supply_by_dia_wide.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","968","965-976","\.csv","""projects/Buildings/Sophia-Mall/03-schedule/BL critical path.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","973","970-981","\.csv","""projects/Buildings/Sophia-Mall/03-schedule/BL float bath.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","978","975-986","\.csv","""projects/Buildings/Sophia-Mall/03-schedule/Bl Longest bath.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","983","980-991","\.csv","""projects/Buildings/Sophia-Mall/03-schedule/BL Schedule.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","988","985-996","\.csv","""projects/Buildings/Sophia-Mall/03-schedule/MEP Activities.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","993","990-1001","\.csv","""projects/Buildings/Sophia-Mall/03-schedule/MEP Civil Logic.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","998","995-1006","\.csv","""projects/Buildings/Sophia-Mall/03-schedule/MEP Schedule.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1023","1020-1031","\.pdf","""projects/Buildings/Sophia-Mall/05-contracts/source/Overall Contract.pdf"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1028","1025-1036","\.xlsx; \.xls","""projects/Buildings/Sophia-Mall/05-contracts/source/Overall_Contract_clause_library.xlsx"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1043","1040-1051","\.csv","""projects/Buildings/Sophia-Mall/06-evidence/clause_reference_template.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1048","1045-1056","\.csv","""projects/Buildings/Sophia-Mall/06-evidence/contract_evidence_register_template.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1053","1050-1061","\.csv","""projects/Buildings/Sophia-Mall/06-evidence/correspondence_reference_template.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1058","1055-1066","\.csv","""projects/Buildings/Sophia-Mall/06-evidence/document_reference_template.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1063","1060-1071","\.csv","""projects/Buildings/Sophia-Mall/06-evidence/evidence_register_template.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1068","1065-1076","\.csv","""projects/Buildings/Sophia-Mall/06-evidence/photo_log_template.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1093","1090-1101","\.csv","""projects/Buildings/Sophia-Mall/08-branding/color_palette_template.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1173","1170-1181","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/activities.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1178","1175-1186","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/change_orders.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1183","1180-1191","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/claims.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1188","1185-1196","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/contracts.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1193","1190-1201","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/cost_items.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1198","1195-1206","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/delay_events.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1203","1200-1211","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/Delivered_steel_site.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1208","1205-1216","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/engineering_log.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1213","1210-1221","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/evm.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1218","1215-1226","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/ifc_conflict.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1223","1220-1231","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/milestones.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1228","1225-1236","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/payments.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1233","1230-1241","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/progress_updates.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1238","1235-1246","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/projects.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1243","1240-1251","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/rfi_ status.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1248","1245-1256","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/rft_qtys.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1253","1250-1261","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/risks.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1258","1255-1266","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/steel_activities_relationship.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1263","1260-1271","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/steel_delay_status_mployer_free_issue_material.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1268","1265-1276","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/s_curve.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1273","1270-1281","\.csv","""projects/Buildings/The BIG - PH01/01-data/import_templates/wbs.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1278","1275-1286","\.docx","""projects/Buildings/The BIG - PH01/02-delay_analysis/methodology/TIA methodology.docx"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1288","1285-1296","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/01-project_metadata_template.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1293","1290-1301","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/02- master_activity_steel_analysis.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1298","1295-1306","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/03- employer_steel_supply_at_site.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1303","1300-1311","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/04- p6_activity_export.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1308","1305-1316","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/05- relationship_file.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1313","1310-1321","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/06- contract_library.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1318","1315-1326","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/07- ifc_conflict.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1323","1320-1331","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/08- payments.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1328","1325-1336","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/09- rfi_status.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1333","1330-1341","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/10- contractor_steel_supplied_at_site.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1338","1335-1346","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/11-concurrency_matrix_template.updated.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1343","1340-1351","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/12-client_steel_demand_by_dia_wide.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1348","1345-1356","\.csv","""projects/Buildings/The BIG - PH01/02-delay_analysis/steel_delay_tia_templates/13-client_steel_supply_by_dia_wide.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1358","1355-1366","\.csv","""projects/Buildings/The BIG - PH01/03-schedule/BL critical path.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1363","1360-1371","\.csv","""projects/Buildings/The BIG - PH01/03-schedule/BL float bath.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1368","1365-1376","\.csv","""projects/Buildings/The BIG - PH01/03-schedule/Bl Longest bath.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1373","1370-1381","\.csv","""projects/Buildings/The BIG - PH01/03-schedule/BL Schedule.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1378","1375-1386","\.csv","""projects/Buildings/The BIG - PH01/03-schedule/MEP Activities.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1383","1380-1391","\.csv","""projects/Buildings/The BIG - PH01/03-schedule/MEP Civil Logic.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1388","1385-1396","\.csv","""projects/Buildings/The BIG - PH01/03-schedule/MEP Schedule.csv"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1413","1410-1421","\.pdf","""projects/Buildings/The BIG - PH01/05-contracts/source/Overall Contract.pdf"":  {"
"6","Generated report or output format",".sync_state\local_manifest.json","C:\Users\pc\OneDrive\Documents\Project Intelligence Hub\.sync_state\local_manifest.json","1418","1415-1426","\.xlsx; \.xls","""projects/Buildings/The BIG - PH01/05-contracts/source/Overall_Contract_clause_library.xlsx"":  {"
