project_id,project_name,sector_name,months,monthly_planned,cumm_monthly_planned,monthly_actual,cumm_monthly_actual,monthly_invoiced,cumm_monthly_invoiced,source_file
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Oct-25,0.0,0.0,3974600.57,3974600.57,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Nov-25,8347296.45,8347296.45,8089030.9,12063631.47,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Dec-25,61405155.86,69752452.31,8521118.53,20584750.0,23485862.02,23485862.02,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Jan-26,67496644.02,137249096.3,34796118.93,55380868.93,46408963.51,69894825.53,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Feb-26,33633991.22,170883087.6,20205303.35,75586172.28,40393706.06,110288531.6,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Mar-26,38111113.51,208994201.1,14348185.06,89934357.34,17641618.94,127930150.5,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Apr-26,29721101.71,238715302.8,17873350.85,107807708.2,15475615.0,143405765.5,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-May-26,20259735.78,258975038.6,5277326.61,113085034.8,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Jun-26,13490432.04,272465470.6,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Jul-26,14762397.2,287227867.8,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Aug-26,9924530.76,297152398.6,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Sep-26,12399329.58,309551728.1,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Oct-26,8650019.18,318201747.3,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Nov-26,14242110.8,332443858.1,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Dec-26,10767589.67,343211447.8,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Jan-27,14357924.01,357569371.8,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Feb-27,9156113.78,366725485.6,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,1-Mar-27,560539.45,367286025.0,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\s_curve.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,1-Oct-25,42000000.0,42000000.0,37842000.0,37842000.0,0.0,0.0,projects\Buildings\Sophia-Mall\01-data\import_templates\s_curve.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,1-Nov-25,84000000.0,126000000.0,78355200.0,116197200.0,0.0,0.0,projects\Buildings\Sophia-Mall\01-data\import_templates\s_curve.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,1-Dec-25,147000000.0,273000000.0,141796200.0,257993400.0,110601036.0,110601036.0,projects\Buildings\Sophia-Mall\01-data\import_templates\s_curve.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,1-Jan-26,210000000.0,483000000.0,209244000.0,467237400.0,163210320.0,273811356.0,projects\Buildings\Sophia-Mall\01-data\import_templates\s_curve.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,1-Feb-26,252000000.0,735000000.0,259106400.0,726343800.0,202102992.0,475914348.0,projects\Buildings\Sophia-Mall\01-data\import_templates\s_curve.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,1-Mar-26,294000000.0,1029000000.0,311640000.0,1037983800.0,243079200.0,718993548.0,projects\Buildings\Sophia-Mall\01-data\import_templates\s_curve.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,1-Apr-26,273000000.0,1302000000.0,298061400.0,1336045200.0,232487892.0,951481440.0,projects\Buildings\Sophia-Mall\01-data\import_templates\s_curve.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,1-May-26,252000000.0,1554000000.0,283147200.0,1619192400.0,220854816.0,1172336256.0,projects\Buildings\Sophia-Mall\01-data\import_templates\s_curve.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,1-Jun-26,210000000.0,1764000000.0,148785000.0,1767977400.0,116052300.0,1288388556.0,projects\Buildings\Sophia-Mall\01-data\import_templates\s_curve.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,1-Jul-26,168000000.0,1932000000.0,122304000.0,1890281400.0,95397120.0,1383785676.0,projects\Buildings\Sophia-Mall\01-data\import_templates\s_curve.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,1-Sep-25,25000000.0,25000000.0,17637500.0,17637500.0,0.0,0.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\s_curve.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,1-Oct-25,50000000.0,75000000.0,36520000.0,54157500.0,0.0,0.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\s_curve.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,1-Nov-25,87500000.0,162500000.0,66088750.0,120246250.0,51549225.0,51549225.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\s_curve.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,1-Dec-25,125000000.0,287500000.0,97525000.0,217771250.0,76069500.0,127618725.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\s_curve.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,1-Jan-26,150000000.0,437500000.0,120765000.0,338536250.0,94196700.0,221815425.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\s_curve.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,1-Feb-26,175000000.0,612500000.0,145250000.0,483786250.0,113295000.0,335110425.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\s_curve.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,1-Mar-26,162500000.0,775000000.0,138921250.0,622707500.0,108358575.0,443469000.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\s_curve.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,1-Apr-26,150000000.0,925000000.0,131970000.0,754677500.0,102936600.0,546405600.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\s_curve.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,1-May-26,125000000.0,1050000000.0,88562500.0,843240000.0,69078750.0,615484350.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\s_curve.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,1-Jun-26,100000000.0,1150000000.0,72800000.0,916040000.0,56784000.0,672268350.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\s_curve.csv
