project_id,project_name,sector_name,payment,contract,project,invoice no,invoice date,certified amount,paid amount,payment status,Contractual interest due,Date of Cash Cheque Receipt,Period for payment release,Period in which interest is applied,Amount of interest claimed (EGP),delayed duration(Days) ,Unnamed: 14,Unnamed: 15,Unnamed: 16,source_file
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,5.0,Ph-01,The Big -P.01-UP-20-April-26,5.0,25-Mar-26,17641618.94,0.0,Under Payment,45.0,,,,,,,,,projects\Buildings\The BIG - PH01\01-data\import_templates\payments.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,6.0,Ph-01,The Big -P.01-UP-20-April-26,6.0,26-Apr-26,15475615.0,0.0,Under Payment,45.0,,,,,,,,,projects\Buildings\The BIG - PH01\01-data\import_templates\payments.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,,,,,,,,,,,,,,,,,,projects\Buildings\The BIG - PH01\01-data\import_templates\payments.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,,,,,,,,,,,,,,,,,11.0,projects\Buildings\The BIG - PH01\01-data\import_templates\payments.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,1.0,SM-PH-01,Sophia-Mall,1.0,28-Jan-26,98700000.0,98700000.0,Paid,45.0,14-Mar-26,45.0,0.0,0.0,0.0,,,,projects\Buildings\Sophia-Mall\01-data\import_templates\payments.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,2.0,SM-PH-01,Sophia-Mall,2.0,27-Feb-26,123900000.0,123900000.0,Paid,45.0,13-Apr-26,45.0,0.0,0.0,0.0,,,,projects\Buildings\Sophia-Mall\01-data\import_templates\payments.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,3.0,SM-PH-01,Sophia-Mall,3.0,29-Mar-26,149100000.0,149100000.0,Paid,45.0,13-May-26,45.0,0.0,0.0,0.0,,,,projects\Buildings\Sophia-Mall\01-data\import_templates\payments.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,4.0,SM-PH-01,Sophia-Mall,4.0,28-Apr-26,174300000.0,174300000.0,Paid,45.0,12-Jun-26,45.0,0.0,0.0,0.0,,,,projects\Buildings\Sophia-Mall\01-data\import_templates\payments.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,5.0,SM-PH-01,Sophia-Mall,5.0,28-May-26,199500000.0,123690000.0,Partially Paid,45.0,12-Jul-26,45.0,0.0,0.0,0.0,,,,projects\Buildings\Sophia-Mall\01-data\import_templates\payments.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,6.0,SM-PH-01,Sophia-Mall,6.0,27-Jun-26,224700000.0,139314000.0,Certified,45.0,,,0.0,0.0,,,,,projects\Buildings\Sophia-Mall\01-data\import_templates\payments.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,1.0,ST-PH-01,Suez-Tunnel,1.0,15-Dec-25,58750000.0,58750000.0,Paid,45.0,3-Feb-26,50.0,5.0,35250.0,5.0,,,,projects\Tunnels\Suez-Tunnel\01-data\import_templates\payments.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,2.0,ST-PH-01,Suez-Tunnel,2.0,14-Jan-26,73750000.0,73750000.0,Paid,45.0,10-Mar-26,55.0,10.0,88500.0,10.0,,,,projects\Tunnels\Suez-Tunnel\01-data\import_templates\payments.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,3.0,ST-PH-01,Suez-Tunnel,3.0,13-Feb-26,88750000.0,88750000.0,Paid,45.0,14-Apr-26,60.0,15.0,159750.0,15.0,,,,projects\Tunnels\Suez-Tunnel\01-data\import_templates\payments.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,4.0,ST-PH-01,Suez-Tunnel,4.0,15-Mar-26,103750000.0,103750000.0,Paid,45.0,19-May-26,65.0,20.0,249000.0,20.0,,,,projects\Tunnels\Suez-Tunnel\01-data\import_templates\payments.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,5.0,ST-PH-01,Suez-Tunnel,5.0,14-Apr-26,118750000.0,73625000.0,Partially Paid,45.0,23-Jun-26,70.0,25.0,356250.0,25.0,,,,projects\Tunnels\Suez-Tunnel\01-data\import_templates\payments.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,6.0,ST-PH-01,Suez-Tunnel,6.0,14-May-26,133750000.0,82925000.0,Certified,45.0,,,0.0,0.0,,,,,projects\Tunnels\Suez-Tunnel\01-data\import_templates\payments.csv
