project_id,project_name,sector_name,Primary Event ID,Activity ID,Activity Name,BL Start,BL Finish,Start,Finish,Delayed duration,Overlap Start,Overlap Finish,BL Critical Path,Current Critical Path,Delayed duration after overlap,source_file
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B01-BAS02-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (Bas 02),20-Nov-25,16-Feb-26,1-May-26,19-May-26,-92,1-May-26,19-May-26,No,No,92,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B01-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 02),30-Nov-25,22-Feb-26,2-May-26,20-May-26,-87,2-May-26,20-May-26,No,No,87,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B01-BAS01-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (Bas 01),2-Nov-25,10-Mar-26,9-May-26,27-May-26,-78,9-May-26,27-May-26,No,No,78,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B01-BAS01-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 01),5-Nov-25,31-Mar-26,10-May-26,28-May-26,-58,10-May-26,28-May-26,No,No,58,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B02-BAS02-1020,Submittal for Beams Conc. Dim.& RFT DWGs (B02) (Bas 02),22-Oct-25,11-Nov-25,3-May-26,21-May-26,-191,3-May-26,21-May-26,No,No,191,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B02-BAS02-1030,Submittal for Slabs Conc. Dim.& RFT DWGs (B02) (Bas 02),26-Oct-25,22-Feb-26,4-May-26,22-May-26,-89,4-May-26,22-May-26,No,No,89,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B02-BAS01-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B02) (Bas 01),2-Nov-25,23-Nov-25,11-May-26,29-May-26,-187,11-May-26,29-May-26,No,No,187,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B02-BAS01-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B02) (Bas 01),5-Nov-25,31-Mar-26,12-May-26,30-May-26,-60,12-May-26,30-May-26,No,No,60,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B03-BAS02-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B03) (Bas 02),01-Mr-26 ,10-Mar-26,5-May-26,23-May-26,-74,5-May-26,23-May-26,No,No,74,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B03-BAS02-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B03) (Bas 02),01-Mr-26 ,10-Mar-26,6-May-26,24-May-26,-75,6-May-26,24-May-26,No,No,75,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B03-BAS01-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B03) (Bas 01),01-Mr-26 ,10-Mar-26,13-May-26,31-May-26,-82,13-May-26,31-May-26,No,No,82,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B03-BAS01-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B03) (Bas 01),02-Mr-26 ,12-Mar-26,14-May-26,24-May-26,-73,14-May-26,24-May-26,No,No,73,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B04-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B04) (Bas 02),9-Feb-26,26-Feb-26,7-May-26,25-May-26,-88,7-May-26,25-May-26,No,No,88,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B04-BAS02-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B04) (Bas 02),01-Mr-26 ,10-Mar-26,8-May-26,26-May-26,-77,8-May-26,26-May-26,No,No,77,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B04-BAS01-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B04) (Bas 01),9-Feb-26,26-Feb-26,15-May-26,2-Jun-26,-96,15-May-26,2-Jun-26,No,No,96,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,IFC,                E-SUB-B04-BAS01-1030,Submittal for Beams Conc. Dim.  & RFT DWGs (B04) (Bas 01),01-Mr-26 ,10-Mar-26,16-May-26,3-Jun-26,-85,16-May-26,3-Jun-26,No,No,85,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,RFI,CON-B04-WT-1070,RFT for RC Raft (B04) (Water Tank),3-Dec-25,8-Dec-25,16-Feb-26,29-Mar-26,-31,16-Feb-26,29-Mar-26,Yes,No,31,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,RFI,CON-B04-WT-1110,RFT for Walls (B04) (Water Tank),13-Dec-25,21-Dec-25,17-Feb-26,18-Mar-26,-19,17-Feb-26,18-Mar-26,Yes,No,5,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,RFI,CON-B01-FOOT-1050,RFT for RC Raft & Footings (B01) (footing),6-Dec-25,18-Dec-25,10-Mar-26,7-Apr-26,-18,10-Mar-26,7-Apr-26,Yes,No,18,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,RFI,CON-B04-WT-1110,RFT for Walls (B04) (Water Tank),13-Dec-25,21-Dec-25,10-Mar-26,5-Apr-26,-16,10-Mar-26,5-Apr-26,Yes,No,0,projects\Buildings\The BIG - PH01\01-data\import_templates\delay_events.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Delay in employer free issue steel supply,CON-SM-EXC-1010,Bulk excavation and dewatering,9-Dec-25,19-Mar-26,14-Dec-25,3-Apr-26,-15,14-Dec-25,3-Apr-26,Yes,Yes,15,projects\Buildings\Sophia-Mall\01-data\import_templates\delay_events.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Late IFC / design clarification,CON-SM-RFT-1020,RFT for raft foundation,22-Feb-26,30-Mar-26,4-Mar-26,20-Apr-26,-21,4-Mar-26,20-Apr-26,Yes,No,21,projects\Buildings\Sophia-Mall\01-data\import_templates\delay_events.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Delayed RFI response,CON-SM-CON-1030,Raft foundation concrete works,30-Mar-26,29-Apr-26,14-Apr-26,26-May-26,-27,14-Apr-26,26-May-26,Yes,Yes,27,projects\Buildings\Sophia-Mall\01-data\import_templates\delay_events.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Access constraint and traffic diversion,CON-SM-B1-1040,Basement B1 columns and walls,29-Apr-26,26-Jun-26,19-May-26,29-Jul-26,-33,19-May-26,29-Jul-26,No,No,33,projects\Buildings\Sophia-Mall\01-data\import_templates\delay_events.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,MEP sleeve coordination delay,CON-SM-GF-1050,Ground floor slab and beams,26-Jun-26,4-Sep-26,21-Jul-26,13-Oct-26,-39,21-Jul-26,13-Oct-26,No,Yes,32,projects\Buildings\Sophia-Mall\01-data\import_templates\delay_events.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Delay in employer free issue steel supply,CON-ST-EXC-1010,Open cut excavation and shoring,29-Oct-25,27-Jan-26,14-Nov-25,22-Feb-26,-26,14-Nov-25,22-Feb-26,Yes,Yes,26,projects\Tunnels\Suez-Tunnel\01-data\import_templates\delay_events.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Late IFC / design clarification,CON-ST-RFT-1020,RFT for base slab reinforcement,28-Dec-25,25-Jan-26,18-Jan-26,26-Feb-26,-32,18-Jan-26,26-Feb-26,Yes,No,32,projects\Tunnels\Suez-Tunnel\01-data\import_templates\delay_events.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Delayed RFI response,CON-ST-CON-1030,Concrete casting for base slab,28-Jan-26,21-Feb-26,23-Feb-26,31-Mar-26,-38,23-Feb-26,31-Mar-26,Yes,Yes,38,projects\Tunnels\Suez-Tunnel\01-data\import_templates\delay_events.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Access constraint and traffic diversion,CON-ST-WALL-1040,Tunnel wall reinforcement and formwork,26-Feb-26,27-Apr-26,29-Mar-26,10-Jun-26,-44,29-Mar-26,10-Jun-26,No,No,44,projects\Tunnels\Suez-Tunnel\01-data\import_templates\delay_events.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,MEP sleeve coordination delay,CON-ST-SLAB-1050,Roof slab reinforcement and concrete,27-Apr-26,1-Jul-26,2-Jun-26,20-Aug-26,-50,2-Jun-26,20-Aug-26,No,Yes,43,projects\Tunnels\Suez-Tunnel\01-data\import_templates\delay_events.csv
