project_id,project_name,sector_name,wbs_code,wbs_name,total_activities,bl_project_duration,remaining_duration,total_float,bl_project_start,bl_project_finish,actual_start,actual_finish,schedule_%_complete,performance_%_complete,budget_at_completion,earned_value_cost,planned_value_cost,source_file
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.CON.PC,Piers & Caps,88,286,202,-57.0,5-Jan-26,18-Oct-26,2-Oct-25,,0.58,0.34,61800000.0,21012000.0,35844000.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.CON.SG,Superstructure Girders,103,330,276,-66.0,14-Feb-26,10-Jan-27,2-Oct-25,,0.45,0.25,88200000.0,22050000.0,39690000.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.CON.DK,Deck Slab & Barriers,72,295,246,-40.0,24-Mar-26,13-Jan-27,2-Oct-25,,0.41,0.21,49700000.0,10437000.0,20377000.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.CON.RD,Roadworks & Diversions,53,248,196,20.0,18-Jun-26,21-Feb-27,2-Oct-25,,0.36,0.17,31900000.0,5423000.0,11484000.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.CON.UT,Utilities & Lighting,39,270,224,12.0,3-May-26,28-Jan-27,2-Oct-25,,0.25,0.11,20650000.0,2271500.0,5162500.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,LMD-Bridge - P.01 - UP-20-April-26.HO,"Testing, Commissioning & Handover",93,456,338,-61.0,10-Dec-25,28-Jan-27,,,0.0,0.0,0.0,0.0,0.0,projects\Bridges\LMD-Bridgs\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,No Priority,,1363,577,473,0.0,11-Sep-25,10-Apr-27,11-Sep-25,,0.6916,0.3105,367286025.0,114050908.4,254009356.2,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),1363,577,473,0.0,11-Sep-25,10-Apr-27,11-Sep-25,,0.6916,0.3105,367286025.0,114050908.4,254009356.2,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.KD,Key Dates,8,577,344,-144.0,11-Sep-25,10-Apr-27,11-Sep-25,,0.0,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.KD.MI,Milestone,5,577,344,-144.0,11-Sep-25,10-Apr-27,11-Sep-25,,0.0,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.KD.MO,Mobilization,0,15,0,,11-Sep-25,28-Sep-25,13-Sep-25,29-Sep-25,0.0,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.EN,Engineering,387,270,40,247.0,11-Sep-25,7-Jun-26,11-Sep-25,,0.0,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.P,Procurement,54,493,245,228.0,11-Sep-25,16-Jan-27,11-Sep-25,,0.0,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.CON,Construction,522,505,445,28.0,25-Oct-25,13-Mar-27,5-Oct-25,,0.6916,0.3105,367286025.0,114050908.4,254009356.2,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.CON.EW,Earth Works,8,55,0,,3-Nov-25,5-Jan-26,10-Oct-25,3-Dec-25,1.0,1.0,7596000.0,7596000.0,7596000.0,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.CON.P02.B01,B01,145,473,445,-130.0,26-Nov-25,13-Mar-27,26-Nov-25,,0.6669,0.2793,118088212.4,32977443.94,78754236.56,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.CON.P02.B02,B02,101,451,396,75.0,9-Dec-25,4-Mar-27,27-Nov-25,,0.6413,0.3171,56776729.54,18001155.81,36411009.65,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.CON.P01.B04,B04,167,505,430,-115.0,25-Oct-25,13-Mar-27,5-Oct-25,,0.7189,0.2598,122501879.9,31821823.82,88065415.36,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.CON.P01.B04.SUB.3.2,Water Tank,22,115,33,-103.0,25-Oct-25,16-Feb-26,5-Oct-25,,1.0,0.8604,13140453.7,11306371.84,13140453.7,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.CON.P01.B03,B03,101,444,414,-99.0,25-Dec-25,13-Mar-27,1-Dec-25,,0.6929,0.3795,62323203.19,23654484.78,43182694.61,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
The Big -P.01-UP-20-April-26,ROYA-BIG PROJECT PHASE01 (B1-4),Buildings,The Big - P.01 - UP-20-April-26.HO,Handover,392,512,473,-144.0,15-Nov-25,10-Apr-27,,,0.0,0.0,0.0,0.0,0.0,projects\Buildings\The BIG - PH01\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,No Priority,,1064,543,376,0.0,25-Aug-25,18-Feb-27,28-Aug-25,,0.623,0.354,382400000.0,135369600.0,238235200.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26,SOPHIA MALL MIXED-USE DEVELOPMENT,1064,543,376,-38.0,25-Aug-25,18-Feb-27,28-Aug-25,,0.623,0.354,382400000.0,135369600.0,238235200.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.KD,Key Dates,8,543,376,-38.0,25-Aug-25,18-Feb-27,28-Aug-25,,0.0,0.0,0.0,0.0,0.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.KD.MI,Milestone,5,543,376,-38.0,25-Aug-25,18-Feb-27,28-Aug-25,,0.0,0.0,0.0,0.0,0.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.KD.MO,Mobilization,10,16,0,,25-Aug-25,10-Sep-25,29-Aug-25,15-Sep-25,0.0,0.0,0.0,0.0,0.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.EN,Engineering,241,248,32,144.0,25-Aug-25,30-Apr-26,28-Aug-25,,0.0,0.0,0.0,0.0,0.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.P,Procurement,86,440,212,88.0,25-Aug-25,8-Nov-26,28-Aug-25,,0.0,0.0,0.0,0.0,0.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.CON,Construction,552,492,348,-26.0,29-Sep-25,10-Dec-26,28-Aug-25,,0.623,0.354,382400000.0,135369600.0,238235200.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.CON.EW,Earth Works,31,62,0,,24-Sep-25,25-Nov-25,22-Sep-25,11-Nov-25,1.0,1.0,21850000.0,21850000.0,21850000.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.CON.B1,Basement & Substructure,122,310,188,-45.0,14-Oct-25,20-Aug-26,28-Aug-25,,0.68,0.41,97300000.0,39893000.0,66164000.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.CON.PD,Podium Structure,115,362,276,-54.0,3-Dec-25,30-Nov-26,28-Aug-25,,0.59,0.33,83450000.0,27538500.0,49235500.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.CON.TR,Retail Floors,124,390,302,-39.0,14-Jan-26,8-Feb-27,28-Aug-25,,0.55,0.3,91600000.0,27480000.0,50380000.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.CON.FA,Facade & Skylight,64,314,258,24.0,1-Mar-26,9-Jan-27,28-Aug-25,,0.36,0.18,47850000.0,8613000.0,17226000.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.CON.MEP,MEP & Life Safety Systems,67,360,318,16.0,12-Apr-26,7-Apr-27,28-Aug-25,,0.28,0.14,52400000.0,7336000.0,14672000.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.CON.FIN,Finishing & Tenant Interface,29,286,252,8.0,2-Apr-26,13-Jan-27,28-Aug-25,,0.22,0.11,39950000.0,4394500.0,8789000.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Sophia-Mall,Sophia Mall Mixed-Use Development,Buildings,Sophia-Mall - P.01 - UP-20-April-26.HO,"Testing, Commissioning & Handover",128,505,376,-38.0,3-Nov-25,18-Feb-27,,,0.0,0.0,0.0,0.0,0.0,projects\Buildings\Sophia-Mall\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,No Priority,,1218,614,492,0.0,15-Sep-25,22-May-27,17-Sep-25,,0.545,0.287,495750000.0,142280250.0,270183750.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26,SUEZ TUNNEL INFRASTRUCTURE PROJECT,1218,614,492,-86.0,15-Sep-25,22-May-27,17-Sep-25,,0.545,0.287,495750000.0,142280250.0,270183750.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.KD,Key Dates,9,614,492,-86.0,15-Sep-25,22-May-27,17-Sep-25,,0.0,0.0,0.0,0.0,0.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.KD.MI,Milestone,6,614,492,-86.0,15-Sep-25,22-May-27,17-Sep-25,,0.0,0.0,0.0,0.0,0.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.KD.MO,Mobilization,12,18,0,,15-Sep-25,3-Oct-25,18-Sep-25,7-Oct-25,0.0,0.0,0.0,0.0,0.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.EN,Engineering,286,292,66,112.0,15-Sep-25,4-Jul-26,17-Sep-25,,0.0,0.0,0.0,0.0,0.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.P,Procurement,119,520,286,76.0,15-Sep-25,17-Feb-27,17-Sep-25,,0.0,0.0,0.0,0.0,0.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.CON,Construction,623,548,452,-52.0,20-Oct-25,13-Mar-27,17-Sep-25,,0.545,0.287,495750000.0,142280250.0,270183750.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.CON.EW,Earth Works,46,102,8,-14.0,15-Oct-25,25-Jan-26,13-Oct-25,4-Jan-26,0.92,0.84,38450000.0,32298000.0,35374000.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.CON.PA,Portal A,132,418,330,-75.0,24-Nov-25,16-Jan-27,17-Sep-25,,0.57,0.31,86300000.0,26753000.0,49191000.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.CON.PB,Portal B,128,424,342,-64.0,2-Dec-25,30-Jan-27,17-Sep-25,,0.53,0.28,82900000.0,23212000.0,43937000.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.CON.TE,Tunnel Excavation,164,488,418,-92.0,13-Jan-26,16-May-27,17-Sep-25,,0.49,0.22,148600000.0,32692000.0,72814000.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.CON.LI,Lining & Waterproofing,96,442,388,-70.0,4-Mar-26,20-May-27,17-Sep-25,,0.38,0.19,95850000.0,18211500.0,36423000.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.CON.MEP,MEP & Ventilation Systems,57,365,338,34.0,3-May-26,3-May-27,17-Sep-25,,0.21,0.09,43650000.0,3928500.0,9166500.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.CON.RD,Approach Roads,41,230,190,18.0,2-Jun-26,18-Jan-27,17-Sep-25,,0.32,0.16,28950000.0,4632000.0,9264000.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
Suez-Tunnel,Suez Tunnel Civil & MEP Works,Tunnels,Suez-Tunnel - P.01 - UP-20-April-26.HO,"Testing, Commissioning & Handover",124,578,492,-86.0,24-Nov-25,22-May-27,,,0.0,0.0,0.0,0.0,0.0,projects\Tunnels\Suez-Tunnel\01-data\import_templates\wbs.csv
